id,text,title
doc_851,Is a Privacy Information Management System (PIMS) established and documented?,27701 – PIMS Governance
doc_852,Is the PIMS integrated with the existing ISMS (ISO 27001)?,27701 – PIMS Governance
doc_853,Are privacy objectives defined and measurable?,27701 – PIMS Governance
doc_854,Are privacy objectives aligned to business and regulatory needs?,27701 – PIMS Governance
doc_855,Is the PIMS regularly reviewed by senior management?,27701 – PIMS Governance
doc_856,Are roles for PII controllers and PII processors clearly defined?,27701 – Organizational Roles
doc_857,Is a Data Protection Officer (DPO) appointed where required?,27701 – Organizational Roles
doc_858,Are responsibilities for PII lifecycle management documented?,27701 – Organizational Roles
doc_859,Are privacy responsibilities communicated to all relevant employees?,27701 – Organizational Roles
doc_860,Are privacy responsibilities reviewed during organizational changes?,27701 – Organizational Roles
doc_861,Is an inventory of all PII categories maintained?,27701 – PII Inventory & Mapping
doc_862,Are PII flows documented across systems and subprocessors?,27701 – PII Inventory & Mapping
doc_863,Is PII classified based on sensitivity and risk?,27701 – PII Inventory & Mapping
doc_864,"Are PII storage locations documented, including cloud and on-prem?",27701 – PII Inventory & Mapping
doc_865,Are lawful bases for processing each PII category identified?,27701 – PII Inventory & Mapping
doc_866,Is there a privacy policy publicly available for data subjects?,27701 – Privacy Policy Requirements
doc_867,Does the privacy policy specify what PII is processed and why?,27701 – Privacy Policy Requirements
doc_868,Are privacy notices aligned with regulatory requirements (GDPR etc.)?,27701 – Privacy Policy Requirements
doc_869,Are data subjects informed of their rights?,27701 – Privacy Policy Requirements
doc_870,Are privacy notices reviewed periodically?,27701 – Privacy Policy Requirements
doc_871,Is the legal basis for each PII processing operation documented?,27701 – Legal Basis for PII Processing
doc_872,Are consent requirements documented when applicable?,27701 – Legal Basis for PII Processing
doc_873,"Are consent mechanisms available, explicit, and auditable?",27701 – Legal Basis for PII Processing
doc_874,Is processing limited to what is necessary for the intended purpose?,27701 – Legal Basis for PII Processing
doc_875,Is processing of sensitive PII subject to enhanced controls?,27701 – Legal Basis for PII Processing
doc_876,Are notices provided when PII is collected directly from data subjects?,27701 – Transparency & Notices
doc_877,Are data subjects informed if PII is collected indirectly?,27701 – Transparency & Notices
doc_878,Do privacy notices include retention durations?,27701 – Transparency & Notices
doc_879,Are data subjects notified of automated decision-making?,27701 – Transparency & Notices
doc_880,Are data subjects notified when new purposes for processing arise?,27701 – Transparency & Notices
doc_881,Are data subject access requests (DSAR) handled promptly?,27701 – Data Subject Rights Management
doc_882,Are procedures implemented to correct inaccurate PII?,27701 – Data Subject Rights Management
doc_883,Are deletion/erasure requests handled according to regulations?,27701 – Data Subject Rights Management
doc_884,Are restrictions on processing supported when requested?,27701 – Data Subject Rights Management
doc_885,Is PII portability supported through standard formats?,27701 – Data Subject Rights Management
doc_886,Are documented procedures in place to ensure PII is used only for intended purposes?,27701 – Purpose Limitation
doc_887,Are secondary uses of PII prevented without explicit approval?,27701 – Purpose Limitation
doc_888,Are employees trained on purpose limitation requirements?,27701 – Purpose Limitation
doc_889,Are automated systems restricted from using PII for unintended analytics?,27701 – Purpose Limitation
doc_890,Is monitoring in place to detect unauthorized processing purposes?,27701 – Purpose Limitation
doc_891,Is data minimization applied to all PII processing activities?,27701 – Data Minimization
doc_892,Are PII collection forms validated to avoid collecting unnecessary data?,27701 – Data Minimization
doc_893,Are PII retention durations minimized to what is necessary?,27701 – Data Minimization
doc_894,Are logs retained without unnecessary PII?,27701 – Data Minimization
doc_895,Are anonymization techniques used when identifiable data is not needed?,27701 – Data Minimization
doc_896,Are accuracy checks implemented for PII updates?,27701 – PII Accuracy & Quality
doc_897,Are data subjects notified when inaccurate PII is corrected?,27701 – PII Accuracy & Quality
doc_898,Are controllers informed if inaccurate data is detected by the processor?,27701 – PII Accuracy & Quality
doc_899,Are automated systems validated to prevent creating inaccurate PII?,27701 – PII Accuracy & Quality
doc_900,Are PII accuracy procedures reviewed periodically?,27701 – PII Accuracy & Quality
doc_901,Are retention policies documented for each category of PII?,27701 – PII Retention Management
doc_902,Are PII retention schedules aligned with legal obligations?,27701 – PII Retention Management
doc_903,Are PII deletion triggers configured in systems and workflows?,27701 – PII Retention Management
doc_904,Are customers informed when retention schedules change?,27701 – PII Retention Management
doc_905,Are PII retention exceptions documented and approved?,27701 – PII Retention Management
doc_906,Are PII deletion procedures documented and tested?,27701 – Secure PII Deletion
doc_907,"Are all copies of PII deleted upon request, including backups?",27701 – Secure PII Deletion
doc_908,Are deletion logs retained as evidence of erasure?,27701 – Secure PII Deletion
doc_909,Are deletion processes aligned with customer agreements?,27701 – Secure PII Deletion
doc_910,Is PII deletion verified for completeness and accuracy?,27701 – Secure PII Deletion
doc_911,Is PII protected with encryption in storage?,27701 – PII Protection Controls
doc_912,Is PII encrypted in transit across networks?,27701 – PII Protection Controls
doc_913,Are PII access rights reviewed frequently?,27701 – PII Protection Controls
doc_914,Are PII access attempts logged and monitored?,27701 – PII Protection Controls
doc_915,Are intrusion detection systems applied to PII systems?,27701 – PII Protection Controls
doc_916,Are processors prevented from engaging subprocessors without authorization?,27701 – Subprocessor Governance
doc_917,Are subprocessors bound to the same privacy obligations?,27701 – Subprocessor Governance
doc_918,Is a list of subprocessors maintained and provided to controllers?,27701 – Subprocessor Governance
doc_919,Are subprocessors monitored for privacy compliance?,27701 – Subprocessor Governance
doc_920,Are controllers notified before subprocessors change?,27701 – Subprocessor Governance
doc_921,Are cross-border PII transfers documented and justified?,27701 – International Data Transfers
doc_922,"Are appropriate safeguards (SCC, BCR) documented for international transfers?",27701 – International Data Transfers
doc_923,Are controllers notified of the geographic location of stored PII?,27701 – International Data Transfers
doc_924,Are region restrictions honored for customer PII?,27701 – International Data Transfers
doc_925,Is regulatory guidance followed for data transfers outside allowed jurisdictions?,27701 – International Data Transfers
doc_926,Are PII breach notification procedures documented?,27701 – PII Breach Management
doc_927,Is the controller notified promptly in case of a PII breach?,27701 – PII Breach Management
doc_928,Are breach reports detailed enough to meet regulatory reporting obligations?,27701 – PII Breach Management
doc_929,Are breach handling roles clearly defined?,27701 – PII Breach Management
doc_930,Are breach logs retained for audits and regulators?,27701 – PII Breach Management
doc_931,Are privacy audit logs retained according to policy?,27701 – PII Audit Logging
doc_932,Are logs protected from unauthorized modification?,27701 – PII Audit Logging
doc_933,Are PII logs reviewed for suspicious activities?,27701 – PII Audit Logging
doc_934,Are audit trails linked to PII processing activities?,27701 – PII Audit Logging
doc_935,Are audit logs accessible to the controller when required?,27701 – PII Audit Logging
doc_936,Are privacy controls verified regularly through internal audits?,27701 – PIMS Internal Audit
doc_937,Are audit findings tracked to closure?,27701 – PIMS Internal Audit
doc_938,Are privacy risks included in management review inputs?,27701 – PIMS Internal Audit
doc_939,Are corrective actions applied for privacy control deficiencies?,27701 – PIMS Internal Audit
doc_940,Are auditors trained in privacy requirements?,27701 – PIMS Internal Audit
doc_941,Are employees trained in privacy practices and obligations?,27701 – Privacy Training
doc_942,Is privacy training mandatory for staff with PII access?,27701 – Privacy Training
doc_943,Are training records maintained for compliance?,27701 – Privacy Training
doc_944,Are employees tested on privacy awareness?,27701 – Privacy Training
doc_945,Is refresher training conducted periodically?,27701 – Privacy Training
doc_946,Are privacy requirements included in system development?,27701 – Privacy by Design
doc_947,Are privacy controls validated during QA testing?,27701 – Privacy by Design
doc_948,Are default settings configured to provide maximum privacy?,27701 – Privacy by Design
doc_949,Are systems designed to minimize PII capture?,27701 – Privacy by Design
doc_950,Are privacy design reviews performed before deployment?,27701 – Privacy by Design
doc_951,Are privacy requirements included as acceptance criteria for new systems?,27701 – Privacy by Design Integration
doc_952,Are privacy controls tested before releasing new features?,27701 – Privacy by Design Integration
doc_953,Are privacy design reviews integrated into development sprints?,27701 – Privacy by Design Integration
doc_954,Are system default configurations set to the highest privacy level?,27701 – Privacy by Design Integration
doc_955,Is privacy impact considered during design changes?,27701 – Privacy by Design Integration
doc_956,Is a Data Protection Impact Assessment (DPIA) conducted for high-risk processing?,27701 – DPIA / PIA Requirements
doc_957,Are DPIA outcomes documented and approved?,27701 – DPIA / PIA Requirements
doc_958,Are mitigation measures implemented for DPIA-identified risks?,27701 – DPIA / PIA Requirements
doc_959,Is DPIA reviewed when changes affect PII processing risk?,27701 – DPIA / PIA Requirements
doc_960,Are DPIA decisions shared with appropriate stakeholders?,27701 – DPIA / PIA Requirements
doc_961,Does the organization maintain clear instructions for PII processors?,27701 – Controller Obligations
doc_962,Does the controller maintain clear lawful bases for all processing activities?,27701 – Controller Obligations
doc_963,Does the controller ensure data subject rights are supported by processors?,27701 – Controller Obligations
doc_964,Are processing activities reviewed regularly for compliance with controller obligations?,27701 – Controller Obligations
doc_965,Does the controller retain ownership of all PII shared with processors?,27701 – Controller Obligations
doc_966,Does the processor process PII only under documented instructions from the controller?,27701 – Processor Obligations
doc_967,Does the processor assist the controller with data subject requests?,27701 – Processor Obligations
doc_968,Does the processor maintain logs of PII processing activities?,27701 – Processor Obligations
doc_969,Does the processor provide adequate security to protect PII?,27701 – Processor Obligations
doc_970,Does the processor notify the controller of any subprocessors?,27701 – Processor Obligations
doc_971,Is PII protected using access controls aligned with privacy risk?,27701 – PII Security Controls
doc_972,Are privileged users restricted from unnecessary PII access?,27701 – PII Security Controls
doc_973,Are strong authentication methods required for accessing PII?,27701 – PII Security Controls
doc_974,Are PII processing systems protected with network segmentation?,27701 – PII Security Controls
doc_975,Are PII storage repositories monitored for unauthorized access?,27701 – PII Security Controls
doc_976,Are PII disclosures limited strictly to what is documented in the contract?,27701 – PII Disclosure Controls
doc_977,Are all disclosures logged and auditable?,27701 – PII Disclosure Controls
doc_978,Does the organization maintain a register of PII disclosures?,27701 – PII Disclosure Controls
doc_979,Is onward transfer of PII prohibited without permission?,27701 – PII Disclosure Controls
doc_980,Are government/law-enforcement access requests disclosed to the controller unless prohibited?,27701 – PII Disclosure Controls
doc_981,Are PII transmission paths documented and secured?,27701 – PII Transmission Security
doc_982,Is encryption enforced for all PII data transfers?,27701 – PII Transmission Security
doc_983,"Are secure transfer mechanisms (TLS, VPN) required?",27701 – PII Transmission Security
doc_984,Are data transfer logs maintained for audit purposes?,27701 – PII Transmission Security
doc_985,Are cross-border transfers validated for legal compliance?,27701 – PII Transmission Security
doc_986,Are procedures in place to verify PII accuracy upon updates?,27701 – Accuracy & Completeness
doc_987,Are mechanisms available to allow data subjects to correct inaccurate PII?,27701 – Accuracy & Completeness
doc_988,Does the controller receive notifications when incorrect PII is identified?,27701 – Accuracy & Completeness
doc_989,Are automated validation checks implemented for PII input fields?,27701 – Accuracy & Completeness
doc_990,Are accuracy procedures reviewed for effectiveness?,27701 – Accuracy & Completeness
doc_991,Are PII logs protected with integrity controls to prevent tampering?,27701 – PII Logging & Monitoring
doc_992,Are PII audit logs continuously monitored for suspicious activities?,27701 – PII Logging & Monitoring
doc_993,Are PII logs maintained separately from system logs?,27701 – PII Logging & Monitoring
doc_994,Are historical PII logs archived securely?,27701 – PII Logging & Monitoring
doc_995,Are PII logs retained only as long as legally required?,27701 – PII Logging & Monitoring
doc_996,Are PII breach response processes documented and tested?,27701 – PII Breach Management Enhancements
doc_997,Are breach response playbooks specific to PII?,27701 – PII Breach Management Enhancements
doc_998,Does the processor notify the controller immediately upon detecting a PII breach?,27701 – PII Breach Management Enhancements
doc_999,Are roles and responsibilities clearly defined for breach management?,27701 – PII Breach Management Enhancements
doc_1000,Are forensic investigation procedures applied to PII breaches?,27701 – PII Breach Management Enhancements
doc_1001,Are PII retention requirements documented for each processing purpose?,27701 – Advanced Retention & Disposal
doc_1002,Are automated retention schedules applied to PII repositories?,27701 – Advanced Retention & Disposal
doc_1003,Are PII deletion workflows tested regularly?,27701 – Advanced Retention & Disposal
doc_1004,Are deletion exceptions documented with justification?,27701 – Advanced Retention & Disposal
doc_1005,Are retention logs available to controllers for verification?,27701 – Advanced Retention & Disposal
doc_1006,"Are contractual privacy terms aligned with regulatory obligations (e.g., GDPR)?",27701 – Contractual & Legal Alignment
doc_1007,Do contracts specify controller and processor responsibilities clearly?,27701 – Contractual & Legal Alignment
doc_1008,Do subcontractor agreements replicate controller-processor terms?,27701 – Contractual & Legal Alignment
doc_1009,Are privacy breach notification timelines defined contractually?,27701 – Contractual & Legal Alignment
doc_1010,Are deletion and return of PII covered in all contracts?,27701 – Contractual & Legal Alignment
doc_1011,Are cloud providers assessed for privacy controls relevant to PII?,27701 – Cloud Privacy Management
doc_1012,Are CSP responsibilities documented within shared-responsibility models?,27701 – Cloud Privacy Management
doc_1013,"Are privacy controls applied to cloud storage, logs, and databases?",27701 – Cloud Privacy Management
doc_1014,Are PII-related cloud services monitored for unauthorized access?,27701 – Cloud Privacy Management
doc_1015,Does the CSP support customer-managed encryption for PII?,27701 – Cloud Privacy Management
doc_1016,Are vendors assessed for compliance with privacy requirements?,27701 – Vendor Privacy Management
doc_1017,Are privacy questionnaires used during vendor onboarding?,27701 – Vendor Privacy Management
doc_1018,Are vendors required to implement privacy controls?,27701 – Vendor Privacy Management
doc_1019,Are third-party privacy risks reviewed periodically?,27701 – Vendor Privacy Management
doc_1020,Are vendors required to notify the controller of privacy incidents?,27701 – Vendor Privacy Management
doc_1021,Is customer ownership of PII protected contractually?,27701 – Customer & Data Subject Rights
doc_1022,Are customers able to request export or migration of their PII?,27701 – Customer & Data Subject Rights
doc_1023,Are customers able to request deletion of all PII copies?,27701 – Customer & Data Subject Rights
doc_1024,Are customers informed about processing changes affecting PII?,27701 – Customer & Data Subject Rights
doc_1025,Are privacy dashboards available to customers where applicable?,27701 – Customer & Data Subject Rights
doc_1026,Are privacy performance metrics defined and monitored?,27701 – PIMS Monitoring & Performance
doc_1027,Are KRIs (Key Risk Indicators) defined for privacy risks?,27701 – PIMS Monitoring & Performance
doc_1028,Are privacy KPIs reported to senior management?,27701 – PIMS Monitoring & Performance
doc_1029,Are privacy nonconformities tracked to closure?,27701 – PIMS Monitoring & Performance
doc_1030,Are privacy processes reviewed following major incidents?,27701 – PIMS Monitoring & Performance
doc_1031,Are anonymization techniques validated for effectiveness?,27701 – Anonymization & Pseudonymization
doc_1032,Are re-identification risks assessed regularly?,27701 – Anonymization & Pseudonymization
doc_1033,Are pseudonymization keys stored securely and separately?,27701 – Anonymization & Pseudonymization
doc_1034,Are anonymization failures treated as privacy incidents?,27701 – Anonymization & Pseudonymization
doc_1035,Are anonymization techniques aligned with industry standards?,27701 – Anonymization & Pseudonymization
doc_1036,Is PII securely deleted upon contract termination?,27701 – End-of-Contract Processing
doc_1037,Are deletion certificates provided to the controller?,27701 – End-of-Contract Processing
doc_1038,"Are all copies of PII (logs, backups, archives) removed at termination?",27701 – End-of-Contract Processing
doc_1039,Are return-or-destruction instructions documented contractually?,27701 – End-of-Contract Processing
doc_1040,Are controllers notified when contract termination processing is completed?,27701 – End-of-Contract Processing
doc_1041,Are privacy considerations included in business continuity planning?,27701 – Privacy Continuity
doc_1042,Are backup processes designed to protect PII during emergencies?,27701 – Privacy Continuity
doc_1043,Are alternative processing locations compliant with privacy laws?,27701 – Privacy Continuity
doc_1044,Are incident response teams trained in privacy impact handling?,27701 – Privacy Continuity
doc_1045,Are privacy risks reassessed after continuity events?,27701 – Privacy Continuity
doc_1046,Are regulatory updates monitored and applied to the PIMS?,27701 – Regulatory Alignment
doc_1047,Are privacy controls updated to reflect new legal requirements?,27701 – Regulatory Alignment
doc_1048,Is the organization’s processing mapped to relevant regional laws?,27701 – Regulatory Alignment
doc_1049,Is legal counsel involved in reviewing privacy compliance?,27701 – Regulatory Alignment
doc_1050,Are privacy policies updated following regulatory changes?,27701 – Regulatory Alignment
