id,question,score,labels,matched_labels
SEF-05.1,Are information security incident metrics established and monitored?,0.6024,"policies and procedures, periodic review, risk management, compliance requirements, documentation, monitoring and reporting",
SEF-03.1,"Is a security incident response plan that includes relevant internal departments, impacted CSCs, and other business- critical relationships (such as supply-chain established, documented, approved, communicated, applied, evaluated, and maintained?",0.5380,"policies and procedures, periodic review, risk management, compliance requirements, documentation, monitoring and reporting",
LOG-03.1,Are security-related events identified and monitored within applications and the underlying infrastructure?,0.5265,"policies and procedures, periodic review, risk management, compliance requirements, documentation, monitoring and reporting",
LOG-03.2,Is a system defined and implemented to generate alerts to responsible stakeholders based on security events and their corresponding metrics?,0.5115,"policies and procedures, periodic review, risk management, compliance requirements, documentation, monitoring and reporting",
SEF-04.1,"Is the security incident response plan tested and updated for effectiveness, as necessary, at planned intervals or upon significant organizational or environmental changes?",0.5102,"policies and procedures, periodic review, risk management, compliance requirements, documentation, monitoring and reporting",
SEF-02.1,"Are policies and procedures for timely management of security incidents established, documented, approved, communicated, applied, evaluated, and maintained?",0.4861,"policies and procedures, periodic review, risk management, compliance requirements, documentation, monitoring and reporting, incident management",
SEF-06.1,"Are processes, procedures, and technical measures supporting business processes to triage security-related events defined, implemented, and evaluated?",0.4769,"policies and procedures, periodic review, risk management, compliance requirements, documentation, monitoring and reporting",
SEF-02.2,Are policies and procedures for timely management of security incidents reviewed and updated at least annually?,0.4696,"policies and procedures, periodic review, risk management, compliance requirements, documentation, monitoring and reporting",
TVM-03.1,"Are processes, procedures, and technical measures defined, implemented, and evaluated to enable scheduled and emergency responses to vulnerability identifications (based on the identified risk)?",0.4645,"policies and procedures, periodic review, risk management, compliance requirements, documentation, monitoring and reporting",
SEF-01.1,"Are policies and procedures for security incident management, e- discovery, and cloud forensics established, documented, approved, communicated, applied, evaluated, and maintained?",0.4645,"incident management, policies and procedures",